id,person_id,doctor_id,vaccine_id,year,month,day
1547140830110679291,330304200209250313,1547140830098096173,1547140830106484912,2022,3,2
1547140830110679292,330304200209250313,1547140830098096132,1547140830106484950,2021,8,6
1547140830110679293,330304200209250313,1547140830098096174,1547140830106484867,2021,3,19
1547140830110679294,330304200209250313,1547140830098096141,1547140830106484934,2022,3,24
1547140830110679295,330304200209250313,1547140830098096149,1547140830106484801,2022,3,23
1547140830110679296,330304200209250313,1547140830098096166,1547140830106484848,2022,6,27
1547140830110679297,330304200209250313,1547140830098096177,1547140830106484971,2021,2,2
1547140830110679298,330304200209250313,1547140830098096156,1547140830106484853,2021,11,3
1547140830110679299,330304200209250313,1547140830098096174,1547140830106484835,2021,4,16
1547140830110679300,330304200209250313,1547140830098096176,1547140830106484837,2022,7,11
1547140830110679301,330304200209250313,1547140830098096171,1547140830106484842,2021,2,11
1547140830110679302,330304200209250313,1547140830098096143,1547140830106484981,2022,6,9
1547140830110679303,330304200209250313,1547140830098096140,1547140830106484943,2022,1,21
1547140830110679304,330304200209250313,1547140830098096131,1547140830106484825,2022,5,3
1547140830110679305,330304200209250313,1547140830098096128,1547140830106484928,2022,1,17
1547140830110679306,330304200209250313,1547140830098096153,1547140830106484987,2021,10,20
1547140830110679307,330304200209250313,1547140830098096149,1547140830106484971,2022,3,2
1547140830110679308,330304200209250313,1547140830098096174,1547140830106484962,2021,1,9
1547140830110679309,330304200209250313,1547140830098096155,1547140830106484900,2021,10,24
1547140830110679310,330304200209250313,1547140830098096174,1547140830106484891,2022,2,22
1547140830110679311,330304200209250313,1547140830098096163,1547140830106484856,2021,4,12
1547140830110679312,330304200209250313,1547140830098096156,1547140830106484919,2022,5,20
1547140830110679313,330304200209250313,1547140830098096152,1547140830106484861,2022,5,16
1547140830110679314,330304200209250313,1547140830098096153,1547140830106484830,2022,5,4
1547140830110679315,330304200209250313,1547140830098096156,1547140830106484809,2022,3,8
1547140830110679316,330304200209250313,1547140830098096173,1547140830106484820,2021,11,9
1547140830110679317,330304200209250313,1547140830098096161,1547140830106484921,2021,11,3
1547140830110679318,330304200209250313,1547140830098096160,1547140830106484813,2022,5,23
1547140830110679319,330304200209250313,1547140830098096161,1547140830106484852,2021,8,19
1547140830110679320,330304200209250313,1547140830098096137,1547140830106484944,2022,4,25
1547140830110679321,330304200209250313,1547140830098096146,1547140830106484927,2022,7,8
1547140830110679322,330304200209250313,1547140830098096151,1547140830106484837,2022,4,21
1547140830110679323,330304200209250313,1547140830098096156,1547140830106484914,2022,7,6
1547140830110679324,330304200209250313,1547140830098096132,1547140830106484868,2021,11,13
1547140830110679325,330304200209250313,1547140830098096164,1547140830106484853,2022,7,6
1547140830110679326,330304200209250313,1547140830098096146,1547140830106484884,2022,5,2
1547140830110679327,330304200209250313,1547140830098096143,1547140830106484909,2021,1,25
1547140830110679328,330304200209250313,1547140830098096150,1547140830106484931,2021,7,17
1547140830110679329,330304200209250313,1547140830098096154,1547140830106484793,2022,6,23
1547140830110679330,330304200209250313,1547140830098096167,1547140830106484925,2021,10,25
1547140830110679331,330304200209250313,1547140830098096154,1547140830106484865,2021,11,23
1547140830110679332,330304200209250313,1547140830098096131,1547140830106484853,2022,7,13
1547140830110679333,330304200209250313,1547140830098096137,1547140830106484790,2021,6,8
1547140830110679334,330304200209250313,1547140830098096150,1547140830106484920,2022,4,8
1547140830110679335,330304200209250313,1547140830098096165,1547140830106484789,2022,1,7
1547140830110679336,330304200209250313,1547140830098096171,1547140830106484950,2021,3,13
1547140830110679337,330304200209250313,1547140830098096148,1547140830106484928,2021,11,5
1547140830110679338,330304200209250313,1547140830098096175,1547140830106484942,2022,7,13
1547140830110679339,330304200209250313,1547140830098096180,1547140830106484871,2021,9,18
