id,name,gender
330304200209250313,李晓跃,0
330304200209250313,李晓跃,0
330304200209250313,杨智翼,1
330304200209250313,黄琛,0
330304200209250313,程院莲,1
330304200209250313,石先兵,1
330304200209250313,邱华愉,1
330304200209250313,段琪,0
330304200209250313,杨智翼,1
330304200209250313,杨金玲,1
330304200209250313,仇授书,0
330304200209250313,刘强,1
330304200209250313,陈宜国,1
330304200209250313,刘亚楠,0
330304200209250313,丁红朝,0
330304200209250313,苏叶子,0
330304200209250313,陈秀梅,1
330304200209250313,童丽,0
330304200209250313,孙道明,0
330304200209250313,汪雯波,0
330304200209250313,张雯,0
330304200209250313,罗梦,1
330304200209250313,李燕霞,1
330304200209250313,梁炬强,1
330304200209250313,钟晓玲,0
330304200209250313,黄琛,0
330304200209250313,张春霞,0
330304200209250313,何玮,0
330304200209250313,王鹏,0
330304200209250313,关霓,0
330304200209250313,王丽娜,1
330304200209250313,王书玮,0
330304200209250313,刘希,1
330304200209250313,梁文晓,1
330304200209250313,刘亚楠,0
330304200209250313,高鹏,0
330304200209250313,刘亚楠,1
330304200209250313,李子莹,0
330304200209250313,黄日财,1
330304200209250313,王鹏,0
330304200209250313,金莉莉,0
330304200209250313,张雅楠,0
330304200209250313,杜满聪,1
330304200209250313,仇授书,1
330304200209250313,窦艳,1
330304200209250313,钟阁,1
330304200209250313,玄颖双,1
330304200209250313,高鹏,0
330304200209250313,高燕,0
330304200209250313,王蕾蕾,1
330304200209250313,高燕,0
330304200209250313,黄有福,1
330304200209250313,王超辉,0
330304200209250313,陈秀梅,0
330304200209250313,盛永华,0
330304200209250313,张雯,1
330304200209250313,翟丽娜,0
330304200209250313,黄苏苏,0
330304200209250313,杨震伦,1
330304200209250313,邱华愉,0
330304200209250313,汪雯波,0
330304200209250313,罗文升,1
330304200209250313,杜素音,1
330304200209250313,买琳燕,1
330304200209250313,蔡小路,1
330304200209250313,黄洁,0
330304200209250313,丁红朝,0
330304200209250313,孔巧丽,1
330304200209250313,杨智翼,0
330304200209250313,王超辉,1
330304200209250313,任碧峰,0
330304200209250313,莫裕醒,1
330304200209250313,郭连红,0
330304200209250313,高一晓,1
330304200209250313,赵佳,1
330304200209250313,谢澌祺,0
330304200209250313,王雪,1
330304200209250313,玄颖双,1
330304200209250313,丁玉红,1
330304200209250313,余一鸣,1
330304200209250313,莫裕醒,1
330304200209250313,梁炬强,1
330304200209250313,罗锦雯,1
330304200209250313,王蕾蕾,0
330304200209250313,赵惟琦,1
330304200209250313,王超辉,1
330304200209250313,李霞,1
330304200209250313,王书玮,1
330304200209250313,徐梦漪,0
330304200209250313,谢澌祺,0
330304200209250313,陶丽萍,0
330304200209250313,裴小妮,0
330304200209250313,曾衍文,0
330304200209250313,汪雯波,0
330304200209250313,杨秋苑,1
330304200209250313,吴镇宣,1
330304200209250313,黄美灵,0
330304200209250313,刘文惠,1
330304200209250313,赵聚雪,1
330304200209250313,蔡小路,1
330304200209250313,李海欢,0
330304200209250313,仇授书,0
330304200209250313,杨璐,1
330304200209250313,营鑫妍,1
330304200209250313,蔡小路,0
330304200209250313,陶丽萍,1
330304200209250313,石慧,0
330304200209250313,万绮思,0
330304200209250313,郝丽萍,0
330304200209250313,张占辉,0
330304200209250313,杨璐,1
330304200209250313,郝丽萍,0
330304200209250313,苏叶子,1
330304200209250313,曹继娟,1
330304200209250313,吴晓亚,0
330304200209250313,罗书嵘,1
330304200209250313,王超辉,0
330304200209250313,高燕,1
330304200209250313,詹增荣,1
330304200209250313,尹明柴,0
330304200209250313,曹继娟,0
330304200209250313,张勇,1
330304200209250313,营鑫妍,0
330304200209250313,罗锦雯,1
330304200209250313,李常能,1
330304200209250313,杨宪福,0
330304200209250313,陈宜国,1
330304200209250313,汪雯波,0
330304200209250313,郭连红,0
330304200209250313,纪丽芝,0
330304200209250313,欧越男,0
330304200209250313,莫裕醒,0
330304200209250313,黄映雪,1
330304200209250313,杜素音,1
330304200209250313,李燕霞,0
330304200209250313,王超辉,1
330304200209250313,段娜,1
330304200209250313,邱晨瑜,1
330304200209250313,李子莹,1
330304200209250313,金迎迎,1
330304200209250313,张云茜,0
330304200209250313,杜素音,0
330304200209250313,王超辉,0
330304200209250313,杨震伦,0
330304200209250313,黄洁,0
330304200209250313,罗文升,0
330304200209250313,梁炬强,1
330304200209250313,刘科江,1
330304200209250313,钟晓天,0
330304200209250313,张莉萍,1
330304200209250313,盛永华,0
330304200209250313,郭连红,0
330304200209250313,翟丽娜,1
330304200209250313,石先兵,1
330304200209250313,杨井兰,0
330304200209250313,何玮,1
330304200209250313,郭红霞,1
